dataset,model_label,protocol,split,energy_mae_meV_atom,energy_rmse_meV_atom,forces_mae_meV_A,forces_rmse_meV_A,source_file,notes,metric_status
MoNbTaVW,MatterSim,fine-tune,valid,6.846,28.924,54.749,116.898,verified_metrics_package/final_metrics_wide.csv; verified_metrics_package/final_metrics_wide.csv,Verified reference copied from project summary.,final_main
MoNbTaVW,MACE-EW50,energy-weighted,valid,11.867850551503924,32.623201692084685,62.86696164088902,113.89976584924635,verified_metrics_package/final_metrics_wide.csv,energy_weight=50 forces_weight=100 normal; completed eval JSON.,final_main
MoNbTaVW,MTP-16,level16,valid,16.69336,42.95377,148.72740,248.98070,results/verified_metrics/alloy_mtp16_audit_metrics_20260511.csv; results/verified_metrics/alloy_mtp16_audit_metrics_20260511.csv,Level verified as 16 by metrics.json plus basis_len=122 and n_params=897; log-level mismatch remains provenance-only.,final_main
MoNbTaVW,MTP-20,level20,valid,12.938,39.637,94.46,146.763,verified_metrics_package/final_metrics_wide.csv; results/verified_metrics/alloy_mtp16_audit_metrics_20260511.csv,Level 20 comparison; audit found matching metrics_20.json within rounding.,final_main
MoNbTaVW,MACE default,default-loss,valid,27.52323390372057,86.40110798935581,62.0756620394977,113.74663038919498,verified_metrics_package/final_metrics_wide.csv; results/appendix_tables/mace_ew_protocol_backup_20260511.md,Fair lr=0.001 fair200 default-loss baseline; old lr=0.01 baseline documented in support notes only.,final_main
MoNbTaVW,MACE-EW10,energy-weighted,valid,12.436830466139606,39.34197947634347,62.212968681644284,113.78785800366062,verified_metrics_package/final_metrics_wide.csv; results/appendix_tables/mace_ew_protocol_backup_20260511.md,energy_weight=10 forces_weight=100 normal; completed eval JSON.,appendix_candidate
MoNbTaVW,LoRA-EW10,ablation,valid,17.33860199971883,33.50827126820813,81.40444783594357,129.08256777868087,protocol_addendum_metrics/protocols_metrics_wide.csv,LoRA energy_weight=10 forces_weight=100; completed protocol-addendum eval JSON.,appendix_candidate
MoNbTaVW,freeze1-EW10,ablation,valid,11.985298798253305,38.46768284831533,62.32084278218067,114.1101138659656,protocol_addendum_metrics/protocols_metrics_wide.csv,partial freeze=1 energy_weight=10 forces_weight=100; completed protocol-addendum eval JSON.,appendix_candidate
MoNbTaVW,stage2/SWA,ablation,valid,38.75138852755757,86.22703617370233,63.91064272041855,114.00456575724179,protocol_addendum_metrics/protocols_metrics_wide.csv,stage-two/SWA energy convergence protocol; completed protocol-addendum eval JSON.,appendix_candidate
