dataset,model_label,split,energy_mae_meV_atom,energy_rmse_meV_atom,forces_mae_meV_A,forces_rmse_meV_A,source_file,notes
water_H2O,MatterSim,valid,0.624206127,1.009402718,30.122464830,49.921829323,PRESENTATION/00_inbox/presentation_full_context.zip::repo/coursework/new_datasets/water/mattersim/eval_valid.json,accepted H2O validation eval JSON; energy converted eV/atom to meV/atom; forces converted eV/A to meV/Å
water_H2O,MACE,valid,3.070448128,3.419244668,26.653248626,55.606214262,PRESENTATION/00_inbox/presentation_full_context.zip::repo/coursework/new_datasets/water/mace/eval_valid.json,accepted H2O validation eval JSON; energy converted eV/atom to meV/atom; forces converted eV/A to meV/Å
water_H2O,MTP-16,valid,3.901132000,5.859228000,333.057300000,480.392500000,FINAL_NEW_CHAT_CONTEXT_20260511/05_reports_metrics/results_handoff/final_metrics_wide.csv,final verified source; original source repo/coursework/new_datasets/water/mtp/metrics.json; actual metrics.json level=16
water_H2O,MTP-20,valid,1.542203000,2.560598000,108.261100000,191.793600000,FINAL_NEW_CHAT_CONTEXT_20260511/05_reports_metrics/results_handoff/final_metrics_wide.csv,final verified source; original source repo/coursework/new_datasets/water/mtp_clean20_20260508/metrics_20_clean.json; level=20; n_params=450
