dataset,model_label,protocol_or_level,split,temperature,n_runs,energy_mae_mean,energy_mae_std,energy_rmse_mean,energy_rmse_std,forces_mae_mean,forces_mae_std,forces_rmse_mean,forces_rmse_std,source_files,notes
organic,MTP-16,level16,train_300K,300K,5,1.713718,0.288889505052,2.1759714,0.379468940198,174.52466,36.3610918907,257.87816,59.2401281982,PRESENTATION/00_inbox/presentation_full_context.zip::26.02.26/mtp_errors_summary.csv,sample std (ddof=1) over accepted repeated MTP job IDs only; no mixing across level/split/temperature
organic,MTP-16,level16,valid_300K,300K,5,2.160216,0.356923196042,2.7865496,0.484145078693,178.73812,37.2972615812,265.00218,61.3565008551,PRESENTATION/00_inbox/presentation_full_context.zip::26.02.26/mtp_errors_summary.csv,sample std (ddof=1) over accepted repeated MTP job IDs only; no mixing across level/split/temperature
organic,MTP-20,level20,train_300K,300K,5,1.392374,0.186506700704,1.75318,0.22094379798,147.30776,21.2442158997,212.0403,32.9824794722,PRESENTATION/00_inbox/presentation_full_context.zip::26.02.26/mtp_errors_summary.csv,sample std (ddof=1) over accepted repeated MTP job IDs only; no mixing across level/split/temperature
organic,MTP-20,level20,valid_300K,300K,5,1.8733884,0.282846102645,2.4393668,0.365768391047,152.02796,21.9989487005,220.45638,34.9406774755,PRESENTATION/00_inbox/presentation_full_context.zip::26.02.26/mtp_errors_summary.csv,sample std (ddof=1) over accepted repeated MTP job IDs only; no mixing across level/split/temperature
