level,test_temperature,n_runs,energy_mae_mean,energy_mae_std,energy_rmse_mean,energy_rmse_std,forces_mae_mean,forces_mae_std,forces_rmse_mean,forces_rmse_std,source_files,notes
MTP-16,300K,1,1.965594,,2.578954,,172.175900,,251.039200,,repo/coursework/cross_temp_eval/results/mtp/test_300K_mtp16.json,"n_runs=1; mean equals single available run; std not computed; missing run2-run5 test evaluations"
MTP-16,600K,1,4.677083,,6.495860,,256.605100,,375.815700,,repo/coursework/cross_temp_eval/results/mtp/test_600K_mtp16.json,"n_runs=1; mean equals single available run; std not computed; missing run2-run5 test evaluations"
MTP-16,1200K,1,14.777900,,20.442030,,441.936600,,748.242900,,repo/coursework/cross_temp_eval/results/mtp/test_1200K_mtp16.json,"n_runs=1; mean equals single available run; std not computed; missing run2-run5 test evaluations"
MTP-20,300K,1,1.632113,,2.099471,,140.196000,,205.931700,,repo/coursework/cross_temp_eval/results/mtp/test_300K_mtp20.json,"n_runs=1; mean equals single available run; std not computed; missing run2-run5 test evaluations"
MTP-20,600K,1,3.725958,,5.030732,,218.808800,,331.139900,,repo/coursework/cross_temp_eval/results/mtp/test_600K_mtp20.json,"n_runs=1; mean equals single available run; std not computed; missing run2-run5 test evaluations"
MTP-20,1200K,1,10.244110,,13.463010,,402.400300,,661.379600,,repo/coursework/cross_temp_eval/results/mtp/test_1200K_mtp20.json,"n_runs=1; mean equals single available run; std not computed; missing run2-run5 test evaluations"
